report_agent_lei,powerlaw alpha,powerlaw p-value
90 abs. var.,4.796434578148733,0.5968919426739263
183 abs. var.,1.52683468229812,1.9332460728993892e-07
472 abs. var.,1.6939409037458997,0.03710534518675589
697 abs. var.,2.816202284691288,0.047070090897966904
741 abs. var.,3.262494070770807,0.4458135567058077
795 abs. var.,3.178426098601243,0.5323316030938365
884 abs. var.,2.488241305281705,0.0008146136359090554
896 abs. var.,2.7540195417931788,0.007566548223260692
903 abs. var.,2.1640692058916375,0.2629433195721267
989 abs. var.,3.0624848188983074,0.06954811005130439
1233 abs. var.,3.0098081882832783,0.39754835302442926
1246 abs. var.,3.5138093182592898,0.16686097692252733
2599 abs. var.,3.07308525892308,0.05902082622061902
2964 abs. var.,2.283171112221556,3.2142745112914774e-11
3405 abs. var.,3.081843012449701,0.22405469706723036
3947 abs. var.,2.7237562120603114,0.006799002473641741
4110 abs. var.,2.26257293589262,0.6637341056898605
4260 abs. var.,4.798378308033705,0.9994428118144847
4403 abs. var.,3.241152765345517,0.6036808532113395
4434 abs. var.,4.376746879767516,0.011434971239966124
4506 abs. var.,3.2335716889241057,0.4530746725960879
5064 abs. var.,5.147288955461184,0.6121122005727531
5413 abs. var.,3.277059005770679,0.8634010459469443
5685 abs. var.,4.414375409684058,0.6562641029372887
6155 abs. var.,2.0539343964386267,0.2969878809103669
6244 abs. var.,4.942555904000228,0.6699165761917552
6621 abs. var.,4.392935544177545,0.5867482759639927
6855 abs. var.,3.1216524048819076,4.991617075454488e-05
7166 abs. var.,2.67386002363842,0.3711765747886947
7211 abs. var.,3.507356892665619,0.05192304804264536
7910 abs. var.,4.345610224927049,0.6916401682055968
7964 abs. var.,4.1479902559760475,0.7558549712393081
8154 abs. var.,1.8992838619934842,0.0002704184194872057
8198 abs. var.,2.7833435952681587,0.683513970435307
8707 abs. var.,3.5309787554632686,0.15141090761540799
9033 abs. var.,4.054428969443888,0.12214971110859933
9122 abs. var.,1.7191490483729126,0.0006910057898705296
9711 abs. var.,4.7775624243314105,0.6126216650884267
9826 abs. var.,3.2805931806832653,0.042870271537814524
9883 abs. var.,9.41210374029915,0.004120807239754142
9984 abs. var.,2.451813590911044,0.0003338417534208483
10508 abs. var.,2.2735992801516836,0.05101021926091616
11540 abs. var.,2.505052556314417,0.5345251101085188
12340 abs. var.,2.884441396061412,0.303008947051816
12487 abs. var.,,
12642 abs. var.,2.1135980680779367,1.5733498336737757e-09
13077 abs. var.,3.019737261771021,0.1651738991832511
13310 abs. var.,2.2994705207375206,0.005703357144308754
13449 abs. var.,2.8905291608811057,0.743879910360726
13582 abs. var.,5.903750849258612,0.33756167194276776
14413 abs. var.,2.0577715254576194,0.00030940589029294544
14431 abs. var.,3.136214447913143,0.265256353738762
14619 abs. var.,4.543653123536346,0.22159796574609847
90 rel. var.,2570154.926990645,0.9376644130330212
183 rel. var.,1877.113480534248,0.5831295459286676
472 rel. var.,11.87517124495136,0.40222670955810846
697 rel. var.,2.778523928858765,1.8182487763399115e-06
741 rel. var.,5.899654269469205,3.112551797847053e-10
795 rel. var.,6.149672594292213,0.22039757829444906
884 rel. var.,97.6478394275174,0.8246336236638213
896 rel. var.,2.5448885212733803,0.004591651106439034
903 rel. var.,14.43452390935055,0.4907391579511642
