report_agent_lei,powerlaw alpha,powerlaw p-value
90 abs. var.,11.419832016280763,0.9320892571114062
183 abs. var.,1.5483541019958942,1.6980241620598568e-10
472 abs. var.,2.3168175469548347,0.02297885741209687
697 abs. var.,3.713656470191316,0.055408602368566734
741 abs. var.,3.236097462007601,0.1510623517667559
795 abs. var.,2.719628739587627,0.6192457604957295
884 abs. var.,2.5126921022578017,0.013075021449924725
896 abs. var.,2.349011111355198,0.0032651736032237285
903 abs. var.,2.5497270287591025,0.054596063571254454
989 abs. var.,3.305162975385929,0.08882502823785318
1233 abs. var.,3.3102224647356073,0.05233850493234392
1246 abs. var.,3.2745484815870642,0.10666597522348541
2599 abs. var.,2.6846023159848746,0.03790541275731211
2964 abs. var.,2.2746038418457077,3.254018901645947e-13
3405 abs. var.,2.7771699849062266,0.9108628878189282
3947 abs. var.,2.6116064881468537,0.001383612199335734
4110 abs. var.,2.571648072304402,0.6211321036605493
4260 abs. var.,5.212542298491628,0.6379181972737071
4403 abs. var.,3.4646964434249545,0.658759262220297
4434 abs. var.,2.917057140841954,0.37555668044035084
4506 abs. var.,2.602396950278001,0.002955348279797759
5064 abs. var.,4.590132207178177,0.9228723096371816
5413 abs. var.,2.499139578065055,0.4145716112351977
5685 abs. var.,2.394112306308736,0.6050393757041043
6155 abs. var.,2.577652835103845,0.20981532445651185
6244 abs. var.,4.885559113684141,0.9983430620337275
6621 abs. var.,3.5024086808279478,0.7125229491263866
6855 abs. var.,2.5482501983459622,0.002407979152266284
7166 abs. var.,3.3296944539658426,0.13431755701285872
7211 abs. var.,2.3882719764404765,0.11764796582094836
7910 abs. var.,4.980185948029092,0.5730643548652408
7964 abs. var.,4.142282559380103,0.05802536491651832
8154 abs. var.,1.849156366965773,0.00015759818445877755
8198 abs. var.,2.8572897548865024,0.11018142693206877
8707 abs. var.,2.503606095659327,0.02054745301088628
9033 abs. var.,3.3985522106910366,0.007961119219753902
9122 abs. var.,1.60001452108042,0.08739936904541731
9711 abs. var.,4.4154514037690165,0.5199300598890713
9826 abs. var.,3.801448314334136,0.10598573639546334
9883 abs. var.,5.526865376480995,6.4597862003806205e-06
9984 abs. var.,2.64651633224073,0.44445819154965416
10508 abs. var.,2.543666284932754,0.0983018649293855
11540 abs. var.,4.892896149140376,0.4087554039859228
12340 abs. var.,4.329006363830738,0.47127471035077506
12487 abs. var.,,
12642 abs. var.,2.2271693241389308,1.2382709632604617e-10
13077 abs. var.,2.9990626685355597,0.04446293449611257
13310 abs. var.,2.5174576696851414,0.26675652564875385
13449 abs. var.,1.5992802523408987,0.2572510261157165
13582 abs. var.,5.3431980117363915,0.9217418299244219
14413 abs. var.,2.058222428932476,2.0993624380346685e-05
14431 abs. var.,2.7204969348559835,0.30071175354711777
14619 abs. var.,3.4595739538595254,0.12557341173279823
90 rel. var.,1.1177539533118415,4.221327928341622e-05
183 rel. var.,2.203171535254244,0.05639432733596488
472 rel. var.,1.636471993457717,7.588489170559389e-07
697 rel. var.,1.8398048512708396,1.6555822225006477e-84
741 rel. var.,1.7792433249120325,3.426677127532206e-08
795 rel. var.,1.8268039916207215,0.034125265226839
