report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
6820,17774885738.22,367404502.41,84802437.54,86349375.0,13245996994.24,0.0,0.0,0.0,0.020669865776970803,0.004770913230550658,0.0048579426203752985,0.7452085593865804,0.0,0.0,0.0
5521,9596502959.57,230306912.58,0.0,50000000.0,6933279348.78,0.0,0.0,0.0,0.023999045647178086,0.0,0.005210231290570081,0.7224797801855382,0.0,0.0,0.0
9359,196161940781.15002,7806420948.64,48547730.77,859600000.0,137704554855.69,2371467315.1,0.0,0.0,0.039795797887977206,0.00024748802227728134,0.00438209367513865,0.7019942518274808,0.012089334483827067,0.0,0.0
884,213034915000.0,2296658000.0,0.0,1681034000.0,141328685000.0,245283000.0,0.0,0.0,0.01078066475629124,0.0,0.007890884928416546,0.6634062073815459,0.001151374646733377,0.0,0.0
7992,9410264225.38,97353969.28,213362229.35,14663590.0,3059463883.4,0.0,0.0,0.0,0.010345508579603004,0.0226733515913985,0.0015582548639231078,0.32511987018902805,0.0,0.0,0.0
13779,37978851578.24,3538113206.73,872108746.35,116488743.97,21684391057.1,29676744.57,0.0,0.0,0.09316008935765618,0.022963009941292568,0.0030672002740794375,0.5709596303202618,0.0007814018417292878,0.0,0.0
8260,14218946378.7,1082578114.61,746350217.42,177317150.7,7807907604.99,0.0,0.0,0.0,0.07613631036907934,0.05248983979136693,0.012470484519557743,0.5491199837905187,0.0,0.0,0.0
14360,34916190073.18,684191168.67,178687885.34,100000000.0,23594826131.46,12242.1,0.0,0.0,0.019595241268764437,0.005117622654862755,0.0028640009058953,0.6757560341494353,3.506138549006085e-07,0.0,0.0
8155,23225123777.91,891963582.0550001,5002515.66,914101459.3,17629497621.934,0.0,0.0,0.0,0.03840511639827595,0.00021539242192362474,0.03935830301879488,0.7590701255466228,0.0,0.0,0.0
9826,280878676637.0,13141034403.0,7286642000.0,9374878000.0,201012270728.0,801361778.0,0.0,0.0,0.04678544687101014,0.02594231106200012,0.03337696585674191,0.7156551473922772,0.0028530530960727157,0.0,0.0
7211,151808659090.63,3546831898.27,74146278.66,2349999999.99,102969800631.34,0.0,0.0,0.0,0.023363831282855452,0.0004884192977143323,0.015480012892986863,0.6782867410077502,0.0,0.0,0.0
741,171838227013.0,2810866438.0,0.0,3458066227.0,88213410440.0,575858376.0,3.99399108798462,5.291382051947102,0.01635763174969997,0.0,0.020123963608739914,0.5133514932816807,0.003351165721445874,2.3242739158862854e-11,3.079281102886842e-11
14442,5584891704.91,336013186.03,0.0,47491186.0,4540584996.02,0.0,0.0,0.0,0.06016467351275432,0.0,0.008503510633563005,0.8130121828554188,0.0,0.0,0.0
5914,214217073734.0,6836166753.0,4932707410.0,1453231742.0,155426487492.0,2391032679.0,0.0,0.0,0.031912333754911995,0.023026677211196975,0.006783921172429622,0.7255560202684773,0.011161727855404372,0.0,0.0
4199,4487430435.59,122667595.0,0.0,17500000.0,3715500432.75,0.0,0.0,0.0,0.027335820969416735,0.0,0.003899781902178753,0.8279795054386156,0.0,0.0,0.0
645,6894424426.66,682419279.79,0.0,288383000.0,5753073258.8,0.0,0.0,0.0,0.09898132716505786,0.0,0.041828437321736946,0.8344530163465833,0.0,0.0,0.0
3652,33715059596.0,149377455.0,0.0,98000000.0,28828170660.0,0.0,0.0,0.0,0.0044305855243904815,0.0,0.0029067129399832606,0.8550532315659977,0.0,0.0,0.0
1356,33524075038.0,149377455.0,0.0,579077650.0,28874888895.0,0.0,0.0,0.0,0.004455826292915721,0.0,0.017273486273479806,0.8613179890055107,0.0,0.0,0.0
10637,42641693621.22,386474185.99,0.0,681318241.47,25548202196.57,0.0,0.0,0.0,0.009063293531982907,0.0,0.015977748152361197,0.599136667120002,0.0,0.0,0.0
12380,574100641.11,121498927.56,0.0,18000000.0,475437188.23,0.0,0.0,0.0,0.211633499180713,0.0,0.03135338773563767,0.8281425836953635,0.0,0.0,0.0
11374,25882824240.95,3823010682.04,0.0,839600935.75,21970533194.0,0.0,0.0,0.0,0.147704541299303,0.0,0.03243853637972173,0.8488460528677452,0.0,0.0,0.0
9546,23974821589.12,3708609283.86,0.0,285497303.76,21992564182.72,0.0,0.0,0.0,0.15468766973194087,0.0,0.011908213902603612,0.9173192009362203,0.0,0.0,0.0
4652,1427880399.66456,220698889.53,0.0,42300000.0,1069332182.59,1.07,0.0,0.0,0.1545639883997616,0.0,0.02962432988780936,0.7488947833734598,7.493624817956505e-10,0.0,0.0
896,211116380504.0,6829535950.0,4932707410.0,8948439652.0,155825828650.0,2391032679.0,7.699138524863083,9.343620938549698,0.032349625991577674,0.023364872958811175,0.04238628774630046,0.7381039229547022,0.011325661577239372,3.64686932699531e-11,4.425815238137178e-11
9948,33801527608.0,149377455.0,0.0,620191100.0,28856938269.0,0.0,0.0,0.0,0.004419251601062137,0.0,0.018348019864439968,0.8537169859201944,0.0,0.0,0.0
1027,34781941547.26,17546798757.17,0.0,1508654063.62,31268075067.94,0.0,0.0,0.0,0.5044801404581819,0.0,0.04337463627699203,0.898974400996404,0.0,0.0,0.0
13469,26032441000.0,1928615000.0,0.0,892238000.0,21713553000.0,0.0,0.0,0.0,0.07408506178886567,0.0,0.03427408132798611,0.8340959266939277,0.0,0.0,0.0
5495,7524284000.0,2488381000.0,0.0,93010000.0,6690424000.0,0.0,0.0,0.0,0.3307133276734371,0.0,0.01236130906276265,0.8891774951610014,0.0,0.0,0.0
