,degree min network-1,degree min network-50,degree min network-100,degree min network-250,degree max network-1,degree max network-50,degree max network-100,degree max network-250,degree av. network-1,degree av. network-50,degree av. network-100,degree av. network-250
2016-01-08,,,,,,,,,,,,
2016-01-09,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-10,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-11,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-12,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-13,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-14,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-15,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-16,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-17,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-18,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-19,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-20,0,0,0,0,2,2,2,2,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
2016-01-21,0,0,0,0,2,2,2,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2016-01-22,0,0,0,0,2,2,2,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2016-01-23,0,0,0,0,2,2,2,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2016-01-24,0,0,0,0,2,2,2,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2016-01-25,0,0,0,0,2,2,2,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2016-01-26,0,0,0,0,2,2,2,2,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
2016-01-27,0,0,0,0,3,3,3,3,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517
2016-01-28,0,0,0,0,4,4,4,4,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924
2016-01-29,0,0,0,0,4,4,4,4,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924
2016-01-30,0,0,0,0,4,4,4,4,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924
2016-01-31,0,0,0,0,4,4,4,4,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924
2016-02-01,0,0,0,0,4,4,4,4,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.25925925925925924
2016-02-02,0,0,0,0,4,4,4,4,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963
2016-02-03,0,0,0,0,4,4,4,4,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963
2016-02-04,0,0,0,0,4,4,4,4,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963
2016-02-05,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-06,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-07,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-08,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-09,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-10,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-11,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-12,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-13,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-14,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-15,0,0,0,0,4,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2016-02-16,0,0,0,0,5,5,5,5,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035
2016-02-17,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-18,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-19,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-20,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-21,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-22,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-23,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-24,0,0,0,0,6,6,6,6,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
2016-02-25,0,0,0,0,6,6,6,6,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
2016-02-26,0,0,0,0,6,6,6,6,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
2016-02-27,0,0,0,0,6,6,6,6,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
2016-02-28,0,0,0,0,6,6,6,6,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
2016-02-29,0,0,0,0,6,6,6,6,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
2016-03-01,0,0,0,0,6,6,6,6,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
2016-03-02,0,0,0,0,7,7,7,7,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
2016-03-03,0,0,0,0,7,7,7,7,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
2016-03-04,0,0,0,0,8,8,8,8,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
2016-03-05,0,0,0,0,8,8,8,8,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
2016-03-06,0,0,0,0,8,8,8,8,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
2016-03-07,0,0,0,0,8,8,8,8,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
2016-03-08,0,0,0,0,8,8,8,8,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
2016-03-09,0,0,0,0,8,8,8,8,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
2016-03-10,0,0,0,0,8,8,8,8,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
2016-03-11,0,0,0,0,8,8,8,8,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
2016-03-12,0,0,0,0,8,8,8,8,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
2016-03-13,0,0,0,0,8,8,8,8,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
2016-03-14,0,0,0,0,8,8,8,8,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
2016-03-15,0,0,0,0,9,9,9,9,1.0,1.0,1.0,1.0
2016-03-16,0,0,0,0,9,9,9,9,1.1481481481481481,1.1481481481481481,1.1481481481481481,1.1481481481481481
2016-03-17,0,0,0,0,11,11,11,11,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223
2016-03-18,0,0,0,0,11,11,11,11,1.1851851851851851,1.2592592592592593,1.2592592592592593,1.2592592592592593
2016-03-19,0,0,0,0,11,11,11,11,1.1481481481481481,1.2592592592592593,1.2592592592592593,1.2592592592592593
