,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2016-01-08,,,,
2016-01-09,,,,
2016-01-10,1.0,,,
2016-01-11,1.0,,,
2016-01-12,1.0,,,
2016-01-13,1.0,,,
2016-01-14,1.0,,,
2016-01-15,1.0,,,
2016-01-16,1.0,,,
2016-01-17,1.0,,,
2016-01-18,1.0,,,
2016-01-19,1.0,,,
2016-01-20,1.0,,,
2016-01-21,0.6666666666666666,,,
2016-01-22,1.0,,,
2016-01-23,1.0,,,
2016-01-24,1.0,,,
2016-01-25,1.0,,,
2016-01-26,1.0,,,
2016-01-27,0.6,,,
2016-01-28,0.7142857142857143,,,
2016-01-29,1.0,,,
2016-01-30,1.0,,,
2016-01-31,1.0,,,
2016-02-01,1.0,,,
2016-02-02,0.875,,,
2016-02-03,1.0,,,
2016-02-04,1.0,,,
2016-02-05,0.8888888888888888,,,
2016-02-06,1.0,,,
2016-02-07,1.0,,,
2016-02-08,1.0,,,
2016-02-09,1.0,,,
2016-02-10,1.0,,,
2016-02-11,1.0,,,
2016-02-12,1.0,,,
2016-02-13,1.0,,,
2016-02-14,1.0,,,
2016-02-15,1.0,,,
2016-02-16,0.9,,,
2016-02-17,0.9090909090909091,,,
2016-02-18,1.0,,,
2016-02-19,1.0,,,
2016-02-20,1.0,,,
2016-02-21,1.0,,,
2016-02-22,1.0,,,
2016-02-23,1.0,,,
2016-02-24,1.0,,,
2016-02-25,0.9166666666666666,,,
2016-02-26,1.0,,,
2016-02-27,0.8571428571428571,,,
2016-02-28,1.0,0.14285714285714285,,
2016-02-29,1.0,0.14285714285714285,,
2016-03-01,1.0,0.14285714285714285,,
2016-03-02,0.9333333333333333,0.13333333333333333,,
2016-03-03,1.0,0.13333333333333333,,
2016-03-04,0.9375,0.125,,
2016-03-05,1.0,0.125,,
2016-03-06,1.0,0.125,,
2016-03-07,1.0,0.125,,
2016-03-08,1.0,0.125,,
2016-03-09,0.9411764705882353,0.11764705882352941,,
2016-03-10,1.0,0.11764705882352941,,
2016-03-11,0.8947368421052632,0.15789473684210525,,
2016-03-12,0.95,0.15,,
2016-03-13,1.0,0.15,,
2016-03-14,1.0,0.15,,
2016-03-15,0.7407407407407407,0.1111111111111111,,
2016-03-16,0.8709677419354839,0.0967741935483871,,
2016-03-17,0.9393939393939394,0.15151515151515152,,
2016-03-18,0.9117647058823529,0.20588235294117646,,
2016-03-19,0.96875,0.20588235294117646,,
2016-03-20,1.0,0.20588235294117646,,
2016-03-21,1.0,0.20588235294117646,,
2016-03-22,0.96875,0.2,,
2016-03-23,0.9696969696969697,0.2222222222222222,,
2016-03-24,0.9705882352941176,0.21621621621621623,,
2016-03-25,1.0,0.21621621621621623,,
2016-03-26,1.0,0.24324324324324326,,
2016-03-27,1.0,0.24324324324324326,,
2016-03-28,1.0,0.24324324324324326,,
2016-03-29,1.0,0.24324324324324326,,
2016-03-30,1.0,0.24324324324324326,,
2016-03-31,0.9714285714285714,0.23684210526315788,,
2016-04-01,0.9210526315789473,0.21951219512195122,,
2016-04-02,0.48717948717948717,0.11392405063291139,,
2016-04-03,0.9871794871794872,0.11392405063291139,,
2016-04-04,1.0,0.11392405063291139,,
2016-04-05,0.8651685393258427,0.0989010989010989,,
2016-04-06,0.9166666666666666,0.10204081632653061,,
2016-04-07,0.8557692307692307,0.102803738317757,,
2016-04-08,0.8691588785046729,0.09565217391304348,,
2016-04-09,0.9009009009009009,0.09090909090909091,,
2016-04-10,0.981651376146789,0.09090909090909091,,
2016-04-11,1.0,0.09090909090909091,,
2016-04-12,0.8916666666666667,0.08208955223880597,,
2016-04-13,0.8931297709923665,0.07692307692307693,,
2016-04-14,0.9393939393939394,0.07482993197278912,,
2016-04-15,0.8854961832061069,0.08053691275167785,,
2016-04-16,0.8321167883211679,0.07453416149068323,,
2016-04-17,0.9393939393939394,0.08695652173913043,,
2016-04-18,1.0,0.08695652173913043,0.012422360248447204,
2016-04-19,0.8378378378378378,0.08187134502923976,0.011695906432748537,
2016-04-20,0.9290322580645162,0.08045977011494253,0.011494252873563218,
2016-04-21,0.9166666666666666,0.08571428571428572,0.011428571428571429,
2016-04-22,0.8773006134969326,0.08196721311475409,0.01092896174863388,
2016-04-23,0.9573170731707317,0.08465608465608465,0.010582010582010581,
2016-04-24,0.9815950920245399,0.08465608465608465,0.010582010582010581,
2016-04-25,1.0,0.08465608465608465,0.010582010582010581,
2016-04-26,0.975609756097561,0.08333333333333333,0.010416666666666666,
2016-04-27,0.9171597633136095,0.08247422680412371,0.010309278350515464,
2016-04-28,0.9461077844311377,0.08585858585858586,0.010101010101010102,
2016-04-29,0.9142857142857143,0.0825242718446602,0.009708737864077669,
2016-04-30,0.9542857142857143,0.09047619047619047,0.014285714285714285,
2016-05-01,0.9825581395348837,0.09523809523809523,0.014285714285714285,
2016-05-02,1.0,0.09523809523809523,0.014285714285714285,
2016-05-03,0.9941176470588236,0.0947867298578199,0.014218009478672985,
2016-05-04,0.8961748633879781,0.12272727272727273,0.013636363636363636,
2016-05-05,0.9157894736842105,0.13777777777777778,0.013333333333333334,
2016-05-06,0.9633507853403142,0.14473684210526316,0.021929824561403508,
2016-05-07,0.958974358974359,0.14224137931034483,0.03017241379310345,
2016-05-08,0.9536082474226805,0.14224137931034483,0.03017241379310345,
2016-05-09,1.0,0.14224137931034483,0.03017241379310345,
2016-05-10,0.9585492227979274,0.13924050632911392,0.029535864978902954,
2016-05-11,0.925,0.14522821576763487,0.029045643153526972,
2016-05-12,0.9646464646464646,0.14754098360655737,0.03278688524590164,
2016-05-13,0.9323671497584541,0.14682539682539683,0.031746031746031744,
2016-05-14,0.9380952380952381,0.14396887159533073,0.0311284046692607,
2016-05-15,0.9705882352941176,0.14396887159533073,0.03501945525291829,
2016-05-16,0.9797979797979798,0.14396887159533073,0.03501945525291829,
2016-05-17,0.9797979797979798,0.1434108527131783,0.03488372093023256,
2016-05-18,0.9158415841584159,0.1417624521072797,0.034482758620689655,
2016-05-19,0.9285714285714286,0.14122137404580154,0.03435114503816794,
2016-05-20,0.8960396039603961,0.14074074074074075,0.03333333333333333,
2016-05-21,0.9646464646464646,0.15073529411764705,0.03308823529411765,
2016-05-22,0.9025641025641026,0.2867647058823529,0.03308823529411765,
2016-05-23,0.9943181818181818,0.2867647058823529,0.03308823529411765,
2016-05-24,0.8454106280193237,0.2736842105263158,0.031578947368421054,
2016-05-25,0.9174311926605505,0.30689655172413793,0.03103448275862069,
2016-05-26,0.9241071428571429,0.32432432432432434,0.033783783783783786,
2016-05-27,0.9210526315789473,0.3432343234323432,0.036303630363036306,
2016-05-28,0.9210526315789473,0.36038961038961037,0.03571428571428571,
2016-05-29,0.9772727272727273,0.37987012987012986,0.03571428571428571,
2016-05-30,0.9906976744186047,0.37987012987012986,0.03571428571428571,
2016-05-31,0.9594594594594594,0.3738019169329074,0.03514376996805112,
2016-06-01,0.8816326530612245,0.40372670807453415,0.034161490683229816,
2016-06-02,0.8803088803088803,0.4094955489614243,0.032640949554896145,
2016-06-03,0.9721115537848606,0.41887905604719766,0.032448377581120944,
2016-06-04,0.9529411764705882,0.41739130434782606,0.034782608695652174,
2016-06-05,0.9840637450199203,0.4492753623188406,0.034782608695652174,
2016-06-06,0.9595141700404858,0.4492753623188406,0.04057971014492753,
2016-06-07,0.9793388429752066,0.44668587896253603,0.040345821325648415,
2016-06-08,0.914396887159533,0.4714285714285714,0.04,
2016-06-09,0.95703125,0.4730878186968839,0.039660056657223795,
2016-06-10,0.9386973180076629,0.46089385474860334,0.04189944134078212,
2016-06-11,0.9459459459459459,0.4818941504178273,0.04178272980501393,
2016-06-12,0.9839357429718876,0.4986072423398329,0.04456824512534819,
2016-06-13,0.963265306122449,0.4986072423398329,0.04456824512534819,
