,degree min network-1,degree min network-50,degree min network-100,degree min network-250,degree max network-1,degree max network-50,degree max network-100,degree max network-250,degree av. network-1,degree av. network-50,degree av. network-100,degree av. network-250
2016-03-29,,,,,,,,,,,,
2016-03-30,0,0,0,0,1,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
2016-03-31,0,0,0,0,1,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
2016-04-01,0,0,0,0,1,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
2016-04-02,0,0,0,0,1,1,1,1,0.125,0.125,0.125,0.125
2016-04-03,0,0,0,0,1,1,1,1,0.125,0.125,0.125,0.125
2016-04-04,0,0,0,0,1,1,1,1,0.125,0.125,0.125,0.125
2016-04-05,0,0,0,0,5,5,5,5,0.5,0.5,0.5,0.5
2016-04-06,0,0,0,0,6,6,6,6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
2016-04-07,0,0,0,0,6,6,6,6,0.625,0.625,0.625,0.625
2016-04-08,0,0,0,0,8,8,8,8,0.75,0.75,0.75,0.75
2016-04-09,0,0,0,0,8,8,8,8,0.7083333333333334,0.75,0.75,0.75
2016-04-10,0,0,0,0,8,8,8,8,0.7083333333333334,0.75,0.75,0.75
2016-04-11,0,0,0,0,8,8,8,8,0.7083333333333334,0.75,0.75,0.75
2016-04-12,0,0,0,0,8,8,8,8,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
2016-04-13,0,0,0,0,8,8,8,8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
2016-04-14,0,0,0,0,8,8,8,8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
2016-04-15,0,0,0,0,8,8,8,8,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
2016-04-16,0,0,0,0,8,8,8,8,0.7083333333333334,0.875,0.875,0.875
2016-04-17,0,0,0,0,8,8,8,8,0.7083333333333334,0.875,0.875,0.875
2016-04-18,0,0,0,0,8,8,8,8,0.7083333333333334,0.875,0.875,0.875
2016-04-19,0,0,0,0,8,8,8,8,0.75,0.875,0.875,0.875
2016-04-20,0,0,0,0,8,8,8,8,0.7083333333333334,0.875,0.875,0.875
2016-04-21,0,0,0,0,9,9,9,9,0.7916666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334
2016-04-22,0,0,0,0,9,9,9,9,0.9583333333333334,1.0833333333333333,1.0833333333333333,1.0833333333333333
2016-04-23,0,0,0,0,9,9,9,9,0.9583333333333334,1.0833333333333333,1.0833333333333333,1.0833333333333333
2016-04-24,0,0,0,0,9,9,9,9,0.7916666666666666,1.0833333333333333,1.0833333333333333,1.0833333333333333
2016-04-25,0,0,0,0,9,9,9,9,0.7916666666666666,1.0833333333333333,1.0833333333333333,1.0833333333333333
2016-04-26,0,0,0,0,9,9,9,9,0.9166666666666666,1.125,1.125,1.125
2016-04-27,0,0,0,0,9,9,9,9,0.9583333333333334,1.2083333333333333,1.2083333333333333,1.2083333333333333
2016-04-28,0,0,0,0,9,9,9,9,0.875,1.2083333333333333,1.2083333333333333,1.2083333333333333
2016-04-29,0,0,0,0,9,9,9,9,0.7916666666666666,1.2083333333333333,1.2083333333333333,1.2083333333333333
2016-04-30,0,0,0,0,9,9,9,9,0.8333333333333334,1.25,1.25,1.25
2016-05-01,0,0,0,0,9,9,9,9,0.8333333333333334,1.25,1.25,1.25
2016-05-02,0,0,0,0,9,9,9,9,0.8333333333333334,1.25,1.25,1.25
2016-05-03,0,0,0,0,9,9,9,9,0.9166666666666666,1.2916666666666667,1.2916666666666667,1.2916666666666667
2016-05-04,0,0,0,0,9,9,9,9,0.9166666666666666,1.2916666666666667,1.2916666666666667,1.2916666666666667
2016-05-05,0,0,0,0,9,9,9,9,1.0833333333333333,1.5,1.5,1.5
2016-05-06,0,0,0,0,9,9,9,9,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667
2016-05-07,0,0,0,0,9,9,9,9,1.2083333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667
2016-05-08,0,0,0,0,9,9,9,9,1.0416666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
2016-05-09,0,0,0,0,9,9,9,9,1.0416666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
2016-05-10,0,0,0,0,9,9,9,9,1.125,1.7083333333333333,1.7083333333333333,1.7083333333333333
2016-05-11,0,0,0,0,8,9,9,9,1.125,1.75,1.75,1.75
2016-05-12,0,0,0,0,8,9,9,9,1.125,1.75,1.75,1.75
2016-05-13,0,0,0,0,8,9,9,9,1.25,1.875,1.875,1.875
2016-05-14,0,0,0,0,8,9,9,9,1.25,1.9583333333333333,1.9583333333333333,1.9583333333333333
2016-05-15,0,0,0,0,8,9,9,9,1.0833333333333333,1.9583333333333333,1.9583333333333333,1.9583333333333333
2016-05-16,0,0,0,0,8,9,9,9,1.0833333333333333,1.9583333333333333,1.9583333333333333,1.9583333333333333
2016-05-17,0,0,0,0,8,9,9,9,1.0833333333333333,1.9583333333333333,1.9583333333333333,1.9583333333333333
2016-05-18,0,0,0,0,8,9,9,9,1.0833333333333333,1.9583333333333333,1.9583333333333333,1.9583333333333333
2016-05-19,0,0,0,0,8,9,9,9,1.0833333333333333,2.0,2.0,2.0
2016-05-20,0,0,0,0,8,9,9,9,1.4583333333333333,2.2083333333333335,2.2083333333333335,2.2083333333333335
2016-05-21,0,0,0,0,9,9,9,9,1.5,2.25,2.25,2.25
2016-05-22,0,0,0,0,8,9,9,9,1.25,2.25,2.25,2.25
2016-05-23,0,0,0,0,8,9,9,9,1.25,2.25,2.25,2.25
2016-05-24,0,0,0,0,8,9,9,9,1.4166666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335
2016-05-25,0,0,0,0,8,9,9,9,1.4583333333333333,2.4583333333333335,2.4583333333333335,2.4583333333333335
2016-05-26,0,0,0,0,8,9,9,9,1.4583333333333333,2.5,2.5,2.5
2016-05-27,0,0,0,0,8,10,10,10,1.5416666666666667,2.5833333333333335,2.5833333333333335,2.5833333333333335
2016-05-28,0,0,0,0,8,10,10,10,1.625,2.6666666666666665,2.6666666666666665,2.6666666666666665
2016-05-29,0,0,0,0,8,10,10,10,1.375,2.6666666666666665,2.6666666666666665,2.6666666666666665
2016-05-30,0,0,0,0,8,10,10,10,1.375,2.6666666666666665,2.6666666666666665,2.6666666666666665
2016-05-31,0,0,0,0,10,11,11,11,1.5833333333333333,2.75,2.75,2.75
2016-06-01,0,0,0,0,10,11,11,11,1.625,2.8333333333333335,2.8333333333333335,2.8333333333333335
2016-06-02,0,0,0,0,10,11,11,11,1.5,2.875,2.875,2.875
2016-06-03,0,0,0,0,10,11,11,11,1.5,2.9166666666666665,2.9166666666666665,2.9166666666666665
2016-06-04,0,0,0,0,10,11,11,11,1.5833333333333333,3.0,3.0,3.0
2016-06-05,0,0,0,0,10,11,11,11,1.5416666666666667,3.0,3.0,3.0
2016-06-06,0,0,0,0,10,11,11,11,1.5416666666666667,3.0,3.0,3.0
2016-06-07,0,0,0,0,10,11,11,11,1.5833333333333333,3.0416666666666665,3.0416666666666665,3.0416666666666665
2016-06-08,0,0,0,0,10,11,11,11,1.5833333333333333,3.0833333333333335,3.125,3.125
2016-06-09,0,0,0,0,10,11,11,11,1.7083333333333333,3.1666666666666665,3.2083333333333335,3.2083333333333335
2016-06-10,0,0,0,0,10,11,11,11,1.625,3.1666666666666665,3.2083333333333335,3.2083333333333335
2016-06-11,0,0,0,0,10,11,11,11,1.7083333333333333,3.25,3.2916666666666665,3.2916666666666665
2016-06-12,0,0,0,0,10,11,11,11,1.5833333333333333,3.125,3.2916666666666665,3.2916666666666665
2016-06-13,0,0,0,0,10,11,11,11,1.5833333333333333,3.125,3.2916666666666665,3.2916666666666665
2016-06-14,0,0,0,0,10,11,11,11,1.6666666666666667,3.1666666666666665,3.3333333333333335,3.3333333333333335
2016-06-15,0,0,0,0,12,12,12,12,1.75,3.1666666666666665,3.375,3.375
2016-06-16,0,0,0,0,12,12,12,12,1.6666666666666667,3.125,3.375,3.375
2016-06-17,0,0,0,0,12,12,12,12,1.75,3.1666666666666665,3.4583333333333335,3.4583333333333335
2016-06-18,0,0,0,0,12,12,12,12,1.6666666666666667,3.1666666666666665,3.4583333333333335,3.4583333333333335
2016-06-19,0,0,0,0,12,12,12,12,1.6666666666666667,3.1666666666666665,3.4583333333333335,3.4583333333333335
2016-06-20,0,0,0,0,12,12,12,12,1.6666666666666667,3.1666666666666665,3.4583333333333335,3.4583333333333335
2016-06-21,0,0,0,0,12,12,12,12,1.75,3.25,3.5416666666666665,3.5416666666666665
2016-06-22,0,0,0,0,12,12,12,12,1.75,3.2916666666666665,3.5833333333333335,3.5833333333333335
2016-06-23,0,0,0,0,12,12,12,12,1.9166666666666667,3.2916666666666665,3.5833333333333335,3.5833333333333335
2016-06-24,0,0,0,0,12,12,12,12,1.9583333333333333,3.2916666666666665,3.5833333333333335,3.5833333333333335
2016-06-25,0,0,0,0,12,12,12,12,2.125,3.5416666666666665,3.7916666666666665,3.7916666666666665
2016-06-26,0,0,0,0,12,12,12,12,2.0,3.4583333333333335,3.7916666666666665,3.7916666666666665
2016-06-27,0,0,0,0,12,12,12,12,2.0,3.4583333333333335,3.7916666666666665,3.7916666666666665
2016-06-28,0,0,0,0,12,12,12,12,2.1666666666666665,3.5,3.8333333333333335,3.8333333333333335
2016-06-29,0,0,0,0,12,12,12,12,2.0,3.5,3.8333333333333335,3.8333333333333335
2016-06-30,0,0,0,0,12,12,12,12,1.6666666666666667,3.4583333333333335,3.8333333333333335,3.8333333333333335
2016-07-01,0,0,0,0,12,12,13,13,1.4583333333333333,3.5416666666666665,3.9166666666666665,3.9166666666666665
2016-07-02,0,0,0,0,12,13,14,14,1.5,3.6666666666666665,4.041666666666667,4.041666666666667
2016-07-03,0,0,0,0,12,12,14,14,1.4583333333333333,3.5416666666666665,4.041666666666667,4.041666666666667
