,repo transactions maturity av. network,repo transactions notional av. network,number repo transactions av. network
2016-03-29,,,
2016-03-30,0.0,5207693.488372093,43.0
2016-03-31,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-04-02,0.0,3913803.9215686275,51.0
2016-04-03,0.0,8370678.886956523,46.0
2016-04-04,0.0,0.0,0.0
2016-04-05,0.0,0.0,0.0
2016-04-06,0.0,6629510.0,3.0
2016-04-07,0.0,5502087.476279071,43.0
2016-04-08,0.0,6190000.0,2.0
2016-04-09,0.0,0.0,0.0
2016-04-10,0.0,0.0,0.0
2016-04-11,0.0,9981213.563760685,2340.0
2016-04-12,0.0,36126207.96875,8.0
2016-04-13,0.0,139115333.33333334,3.0
2016-04-14,0.0,254750000.0,1.0
2016-04-15,0.0,3628540.7407407407,27.0
2016-04-16,0.0,93004000.0,5.0
2016-04-17,0.0,0.0,0.0
2016-04-18,0.0,3366000.0,1.0
2016-04-19,0.0,0.0,0.0
2016-04-20,0.0,0.0,0.0
2016-04-21,0.0,0.0,0.0
2016-04-22,0.0,4881000.0,4.0
2016-04-23,0.0,2025000.0,1.0
2016-04-24,0.0,993000.0,1.0
2016-04-25,0.0,2891943.714285714,21.0
2016-04-26,0.0,117482500.0,2.0
2016-04-27,0.0,3014400.0,1.0
2016-04-28,0.0,0.0,0.0
2016-04-29,0.0,0.0,0.0
2016-04-30,0.0,17827500.0,1.0
2016-05-01,0.0,2528750.0,1.0
2016-05-02,0.0,1034000.0,1.0
2016-05-03,0.0,50907380.0,3.0
2016-05-04,0.0,100035359.0,2.0
2016-05-05,0.0,34197000.0,2.0
2016-05-06,0.0,63257781.92,5.0
2016-05-07,0.0,99999909.25,1.0
2016-05-08,0.0,778450.0,2.0
2016-05-09,0.0,0.0,0.0
2016-05-10,0.0,5180000.0,19.0
2016-05-11,0.0,50007618.0,4.0
2016-05-12,0.0,3503475.0,4.0
2016-05-13,1.0,167795257.33333334,3.0
2016-05-14,0.0,1679728.0,5.0
2016-05-15,0.0,4247070.905731707,82.0
2016-05-16,0.0,1819004.9541284405,109.0
2016-05-17,2.0,6737848.28125,32.0
2016-05-18,3.0,875358.8888888889,9.0
2016-05-19,3.0,7463125.41625,8.0
2016-05-20,0.0,892128.0235294118,68.0
2016-05-21,0.0,2043974.3631578947,95.0
2016-05-22,0.0,7750958.303030303,33.0
2016-05-23,0.0,7834445.2105263155,19.0
2016-05-24,0.0,26745935.29411765,17.0
2016-05-25,0.0,1988755.1044444442,18.0
2016-05-26,0.0,41364281.04651163,43.0
2016-05-27,,17537576.164352443,471.0
2016-05-28,,45062736.07483334,120.0
2016-05-29,1.5492630220608516,23256698.046466168,266.0
2016-05-30,2.0513102089632196,17712342.42072046,347.0
2016-05-31,1.5401353651426342,8742628.592546046,923.0
2016-06-01,1.6248395507737678,13254162.913315218,368.0
2016-06-02,1.6114004913091795,16751682.581646489,413.0
2016-06-03,1.560057123304724,18376665.778878506,321.0
2016-06-04,2.3850790117067344,22190630.91890566,265.0
2016-06-05,2.9738923274629587,15006659.12521739,69.0
2016-06-06,2.524825433370796,4347191.18343542,1502.0
2016-06-07,2.0086862160849215,12311789.026740666,991.0
2016-06-08,,20208901.00169355,248.0
2016-06-09,,6926991.1520888535,1283.0
2016-06-10,2.0410906059970397,7483073.154155751,1374.0
2016-06-11,,12013296.2233237,346.0
2016-06-12,2.406897681700431,19085768.963095237,294.0
2016-06-13,,14957540.45408638,301.0
2016-06-14,,14129473.289921053,380.0
2016-06-15,5.653324199181299,61272925.15037162,296.0
2016-06-16,8.353052103756912,6897571.164494494,999.0
2016-06-17,2.868925012040841,14426630.963370372,270.0
2016-06-18,2.4317448201246887,20852466.876901962,1020.0
2016-06-19,6.416206665092806,16147393.281768361,1770.0
2016-06-20,,75527817.81190184,326.0
2016-06-21,,155586799.48553905,269.0
2016-06-22,,423239196.2074546,275.0
2016-06-23,,73690038.69096045,531.0
2016-06-24,,76643414.4025187,401.0
2016-06-25,,210964320.62764978,434.0
2016-06-26,,87395303.24265508,403.0
2016-06-27,,21855157.285031848,314.0
2016-06-28,,39707592.02180095,211.0
2016-06-29,,9877979.889665024,1015.0
2016-06-30,2.8989976645507984,7613522.364807792,1951.0
2016-07-01,,6517685.59105102,980.0
2016-07-02,,13039820.600519741,2001.0
2016-07-03,,50697453.81606335,442.0
2016-07-04,,26614499.702043146,788.0
2016-07-05,,25653687.53169666,389.0
2016-07-06,,19794094.32951846,623.0
2016-07-07,,28040801.7771298,547.0
2016-07-08,,98466395.598308,526.0
2016-07-09,,129446640.25131878,1145.0
2016-07-10,,43100045.27406154,650.0
2016-07-11,,124456032.06235798,933.0
2016-07-12,,19863530.490755398,556.0
2016-07-13,2.9824445881483372,15802766.069857514,772.0
2016-07-14,,16792626.227643788,539.0
2016-07-15,,18335231.336327486,855.0
2016-07-16,,8430575.893764704,935.0
2016-07-17,,16233836.237758622,812.0
2016-07-18,,14638352.33593807,1098.0
2016-07-19,,23209743.149799764,849.0
2016-07-20,,13560426.062425328,837.0
2016-07-21,,17506205.062228683,1032.0
2016-07-22,,16468209.939694019,719.0
2016-07-23,,12023154.562829789,940.0
2016-07-24,,12205232.824809264,734.0
2016-07-25,,14869113.657614427,721.0
2016-07-26,3.0916983727463037,12789596.61066184,967.0
2016-07-27,,15328970.27252976,672.0
2016-07-28,,22700554.328463443,807.0
2016-07-29,,18924444.684726194,840.0
2016-07-30,,18173664.46545373,1113.0
2016-07-31,,14632123.835679945,1456.0
2016-08-01,,10170150.139736842,1102.0
2016-08-02,,11979336.706119731,1353.0
2016-08-03,,10968442.659718182,1100.0
2016-08-04,,12926970.765528847,1248.0
2016-08-05,,11414824.54520548,949.0
2016-08-06,,15956315.852493549,1163.0
2016-08-07,,16817570.9207479,1190.0
2016-08-08,,17695545.87618454,1203.0
2016-08-09,,14855132.978246294,1551.0
2016-08-10,,17289946.623015597,1154.0
2016-08-11,,20586156.780571427,980.0
2016-08-12,,18141887.794157065,955.0
2016-08-13,,23763950.12273684,950.0
2016-08-14,,20591884.96743132,728.0
2016-08-15,,28805853.894927885,832.0
2016-08-16,,11986180.924750319,781.0
2016-08-17,,15814084.780912241,866.0
2016-08-18,,12100586.955708956,1072.0
2016-08-19,,12618854.801769465,989.0
